1,366.04646
2,175.96217
3,119.84671
4,89.28033
5,71.24279
6,60.85967
7,52.57613
8,47.09958
9,42.29113
10,39.39383
11,36.82592
12,33.01308
13,31.73154
14,31.29425
15,31.21342
16,30.73217
17,30.47750
18,30.49179
19,30.16808
20,29.73108
21,29.52596
22,29.50625
23,29.32167
24,38.21846
25,29.90296
26,29.64267
27,29.18717
28,29.49662
29,29.56113
30,29.53237
31,29.66412
32,47.64525
33,39.82488
34,38.29721
35,37.74879
36,37.45921
37,37.50688
38,38.85179
39,42.84379
40,43.05108
41,51.13654
42,55.45508
43,40.31400
44,31.56462
45,29.50600
46,29.27175
47,25.33938
48,20.39796
49,23.85358
50,26.75863
51,28.44500
52,30.03621
53,28.05717
54,25.73350
55,26.35067
56,25.36158
57,21.80150
58,24.62821
59,24.66058
60,24.99708
61,25.89446
62,21.37663
63,18.49433
64,16.77071
65,17.72575
66,19.37554
67,20.31733
68,22.90729
69,23.02233
70,22.26412
71,21.70558
72,18.17379
73,13.65067
74,18.38783
75,16.95904
76,16.42625
77,16.20579
78,15.98062
79,12.90738
80,15.38929
81,14.89742
82,14.60408
83,15.16587
84,12.53471
85,11.29071
86,11.76479
87,13.20771
88,12.33587
89,11.73700
90,11.89983
91,11.59212
92,11.23667
93,9.49650
94,10.64312
95,10.41142
96,9.44179
97,9.83400
98,9.50554
99,9.32867
100,9.10571
101,9.77400
102,9.15996
103,9.47237
104,8.40729
105,8.02625
106,7.76350
107,7.71458
108,7.64500
109,7.49904
110,6.97837
111,6.85758
112,6.60100
113,6.77554
114,7.25875
115,6.31579
116,6.14204
117,5.99650
118,5.92254
119,5.70617
120,5.62475
121,6.01983
122,6.30112
123,6.38083
124,6.59950
125,6.13054
126,5.70538
127,5.13458
